question_id,question,option_a,option_b,option_c,option_d,correct_answer,explanation,explanation_a,explanation_b,explanation_c,explanation_d,domain,topic,difficulty,source,tags,is_test,option_e,option_f,explanation_e,explanation_f
CPMAI-D5-034,"A model will make routine decisions automatically and refer borderline cases to a person. The project manager asks how a borderline case is identified. The team says the model will refer cases it is unsure about, but no rule has been written down for what counts as unsure. What should be defined before go-live?",The number of staff available to review the cases that are referred,The explicit condition that sends a case to a person,The average time a reviewer should spend on each referred case,The order in which referred cases are presented to the reviewer,B,"A referral rule has to be explicit, or nobody can say which cases a person will actually see.","Staffing follows from knowing the referral volume, which is not yet knowable. The rule has to come first.","Without a written rule, neither the team nor the reviewers can say which cases will arrive, how many there will be, or whether the ones that matter are among them.",A target handling time is an operational standard set once the work is understood. It does not define which cases arrive.,Queue ordering affects which case is seen first. It does not determine what enters the queue.,Operationalize AI Solution,Human oversight and escalation in operation,EASY,,,,,,,
CPMAI-D5-035,A new version of a live model is deployed. Two weeks later the business reports that outcomes have worsened. The team wants to compare the two versions' behaviour over that period but finds that the previous version's predictions were overwritten as each new one was written. What has been lost?,The record needed to compare the two versions' behaviour before and after the change,The ability to revert to the previous version of the model,The training data that the previous version of the model was built on,The record of which staff acted on the previous version's predictions,A,Comparing behaviour across a version change requires that the earlier version's outputs were retained.,Without the earlier predictions there is nothing to set the new ones against. The team can see that outcomes worsened but cannot characterise how the model's behaviour changed.,"Reverting depends on retaining the model artefact, which is separate from retaining its predictions.",Training data is stored separately from prediction output and is unaffected by the overwriting described.,User activity is recorded by the operational system rather than by the prediction store.,Operationalize AI Solution,"Model lifecycle, versioning and retirement",MEDIUM,,,,,,,
CPMAI-D5-036,A model that affects customers has been live for a year. The organisation's governance body asks for evidence that it has operated within its agreed conditions of use throughout that period. The team can produce the original evaluation report and a monitoring dashboard that displays only current values; historical monitoring records were not retained. What is inadequate about that evidence?,The evaluation report will have been superseded by later versions of the model,The dashboard shows technical measures rather than the conditions of use,The governance body should have specified the evidence it required at the outset,Neither shows how the model behaved across the year in between,D,"Assurance over a period needs a record from across that period, not the current state and the starting point.","The report describes the model before release, and whether it was superseded is a separate matter. The gap is the absence of any record spanning the year.",A dashboard can carry measures tied to the agreed conditions. What it cannot do is show the past.,Specifying evidence upfront would have helped and does not change what can be produced now.,"The evaluation describes the model before release and the dashboard describes it now. Nothing evidences the months between, which is the period the governance body asked about.",Operationalize AI Solution,Operational governance and value realisation,HARD,,,,,,,
CPMAI-D5-037,A model has been live for two months. The project manager asks who reviews the monitoring output and learns that the dashboard exists but nobody has a standing responsibility to look at it. The team says the dashboard is available to everyone who needs it. What should the project manager conclude?,The dashboard should be replaced by automated alerts so that nobody needs to review it,"Availability is not oversight, so a named owner and a review cadence are needed",Access to the dashboard should be restricted to the team that built the model,Two months of operation without review is acceptable while the model is still new,B,"Monitoring that nobody is accountable for reviewing is a record, not a control.","Alerts cover the conditions someone anticipated. Periodic review is what catches the gradual changes no alert was written for, so alerts supplement review rather than replace it.","A dashboard open to everyone is watched by no one in particular. Detection depends on somebody being responsible for looking, on a known schedule, and for acting on what they see.","Narrowing access does not create responsibility, and it may remove the operational users best placed to notice a problem.",Leaving monitoring unread is not justified merely because the model is new. The monitoring exists so that emerging behaviour can be detected and acted on.,Operationalize AI Solution,Production monitoring and performance tracking,MEDIUM,,,,,,,
CPMAI-D5-038,"A team plans to route a small share of live traffic to a new model while the existing model continues to serve the rest, comparing outcomes before deciding whether to switch fully. A stakeholder asks why the new model is not simply evaluated on recent historical data instead. What does the live comparison add?",The new model can be trained further on the traffic it receives during the comparison,A live comparison needs a smaller sample than a historical evaluation to reach a conclusion,"Both models face the same current conditions, including effects the historical data cannot show",Historical data cannot be used to compare two models at all once one is already serving traffic,C,A comparison on live traffic tests the model against conditions no historical extract can reproduce.,Training on traffic during a comparison would change the thing being compared partway through. That undermines the comparison rather than adding to it.,"The sample needed follows from the size of the difference being detected, not from whether the data is live or historical.","Live traffic carries today's mix of cases, current upstream data and the behaviour of the people acting on output. A historical extract reflects the period it came from and none of those effects.","Historical data can compare models perfectly well. The point is what it cannot capture, not that it is unusable.",Operationalize AI Solution,Deployment planning and release strategy,MEDIUM,,,,,,,
CPMAI-D5-039,"A model that performed well during development has been scored monthly since going live. Its accuracy has declined steadily over eight months, although the code has not changed and no errors have been reported in the data pipeline. What explanation should the team investigate first?",The model is gradually forgetting what it learned during its original training process,The test set used during development must have been unrepresentative of the population,The conditions the model was trained on have shifted away from current conditions,Accuracy naturally declines as a model scores a larger cumulative number of records,C,A steady decline after release points first to the conditions the model was trained on having moved.,"A deployed model does not change unless it is retrained. Its parameters are fixed, so there is nothing to forget.","An unrepresentative test set would tend to show a gap from the outset rather than a decline accumulating over eight months, so it fits the observed pattern less well.",A steady decline while the code is unchanged is consistent with conditions moving away from those the model was trained on. That is the hypothesis the pattern supports and the one to test first.,Volume alone does not degrade performance. The measure would stay level if conditions held steady.,Operationalize AI Solution,Drift detection and retraining,MEDIUM,,,,,,,
CPMAI-D5-040,"After a model fault is found, the team reverts to the previous model version within the hour. The project manager asks about the decisions already made on the faulty output during the six hours it was live. The team considers the incident closed because the service is restored. What remains outstanding?",Identifying and remedying the decisions taken on the faulty output,Confirming that the reverted version is the same one that ran before the fault,Establishing why the monitoring took six hours to surface the fault,Documenting the incident in the project's risk register for future reference,A,Restoring the service does not undo the decisions the fault produced while it was live.,"Reverting stops new bad decisions. The ones already made stand, affecting real cases, until they are found and put right.",Verifying what was restored is a sound step and quickly done. It does not address the decisions taken during the six hours.,"That review should happen and will improve detection next time. It is a lesson for the future, not the outstanding harm.",A register entry records that the event occurred. It leaves the affected decisions untouched.,Operationalize AI Solution,"Incident response, rollback and failure handling",HARD,,,,,,,
CPMAI-D5-041,"A model went live three months ago and is technically sound. Monitoring shows its recommendations are accurate. Usage data shows that most staff in the affected team continue to work as they did before, consulting the model rarely. The project manager is asked whether the deployment was successful. What should the answer rest on?",Whether the intended change in how the work is done has happened,Whether the model met the accuracy level agreed before it was deployed,Whether the model has been available without interruption over the three months,Whether staff report being satisfied with the model in a survey,A,Deployment alone does not deliver the intended benefit if the work does not change as planned.,"Accuracy and availability describe the model. The benefit was to come from decisions being made differently, and that has not occurred.","The agreed level has been met, and meeting it was a condition of release rather than the purpose of the deployment.",Availability is a service measure that the monitoring already confirms. It says nothing about whether the model is used.,"Stated satisfaction can coexist with unchanged behaviour, so it is weaker evidence than what the usage data already shows.",Operationalize AI Solution,"Adoption, training and change management",MEDIUM,,,,,,,
CPMAI-D5-042,A model's output will be written into a downstream system used by three other teams for their own reporting. The project manager asks whether those teams have been told what the new field means and how it should be interpreted. The team replies that the field is self-explanatory. What is the risk?,The downstream system may not have a column of the correct type to receive the field,The other teams may object to a new field appearing in a system they rely on,The field will increase the storage the downstream system requires,Consuming teams may read the field differently from how it was intended and build on that reading,D,A field whose meaning is not documented may be interpreted by its consumers however they see fit.,Schema compatibility is a technical detail settled during integration and easily verified.,"Change communication matters for adoption. The consequential risk is misinterpretation, not objection.",Storage impact is a separate technical consideration and does not address the risk that consuming teams misunderstand the field.,A score arriving without a definition invites each team to infer its own meaning. Those readings then spread into reports and decisions that nobody traces back to the model.,Operationalize AI Solution,Integration with business processes and systems,MEDIUM,,,,,,,
CPMAI-D5-043,"A model will decline low-value claims automatically and refer the rest to an assessor. The project manager asks what happens when a claimant disputes an automatic decline. The team replies that the claimant can resubmit the claim, which will be scored again by the same model. What is wrong with that route?",The claimant should be required to supply additional evidence before resubmitting the claim,The model should be retrained to include the disputed claims and their eventual outcomes,Resubmission sends the dispute through the same automated decision route rather than to an independent review,Automatic declines should be limited to claims below a lower value than currently planned,C,"A challenge route has to reach someone able to reconsider the decision, not return to the route that made it.",New evidence could change the input and might help. Placing the burden on the claimant still leaves no route when the decision was wrong on the evidence already given.,Feeding disputes back into training may improve future decisions. It does nothing for the claimant in front of the process now.,A challenge process must provide a route capable of reconsidering the original decision. Sending the same case back through the same automated route does not provide that independent review.,Lowering the threshold reduces how many people are affected without giving any of them a route to challenge.,Operationalize AI Solution,Human oversight and escalation in operation,HARD,,,,,,,
CPMAI-D5-044,"An organisation runs four models in production, each deployed by a different team using its own conventions for naming, storage and release. A project manager taking over operations asks for a list of what is running, who owns each model and when each was last updated. No such list exists. What should be established?",A common set of naming and storage conventions for all four teams to adopt,A single inventory of deployed models with owner and current version,A requirement that all four models be redeployed through a single pipeline,A monthly meeting at which each team reports the state of its models,B,"Operating several models requires a single record of what exists, who owns it and its current state.",Shared conventions make future work more consistent and take time to converge. They do not tell anyone what is running today.,"Without one record, nobody can say what is running or who answers for it. Monitoring, incident response and retirement all depend on that basic list.",Consolidating pipelines is a substantial engineering programme. The immediate gap is knowledge of what exists.,A meeting circulates information periodically and leaves no durable record between sessions.,Operationalize AI Solution,"Model lifecycle, versioning and retirement",MEDIUM,,,,,,,
CPMAI-D5-045,A model was justified by a business case projecting a reduction in processing cost. It has been live for six months and is performing to its accuracy target. Nobody has measured whether processing cost has fallen. The sponsor asks whether the investment paid off. What should the project manager arrange?,"A report of the model's accuracy over the six months, set against its target",A survey of staff on whether the process feels faster than it did before,An updated business case reflecting what has been learned since deployment,Measurement of the processing cost the business case projected,D,"A model is judged in operation against the outcome it was funded to produce, not its accuracy.",That report is already available and describes the condition rather than the benefit.,Perceptions are a weak substitute for a cost measure that the business case already defined.,Revising the projection is worth doing once the outcome is known. It cannot substitute for measuring it.,Accuracy was the condition for deployment; the reduction in cost was the reason for it. Only the second answers the sponsor's question.,Operationalize AI Solution,Operational governance and value realisation,MEDIUM,,,,,,,
CPMAI-D5-046,"A model recommends which maintenance jobs to bring forward. Outcomes become known only when a machine either fails or completes the period without failing, which can take several months. The project manager wants earlier warning that the model's behaviour may be changing. What can be monitored in the meantime?",The distribution of incoming data and of the model's own predictions,"Nothing meaningful, until enough outcomes have accumulated to measure accuracy",The number of predictions the model produces each day compared with its design capacity,The time the model takes to return a recommendation once a request is received,A,"Where outcomes are slow to arrive, the model's inputs and outputs give early warning before they do.","Both are available immediately. A shift in the inputs the model receives, or in the pattern of what it recommends, is an early signal that something has changed.",Waiting for outcomes leaves months in which a fault would go unnoticed. Input and output behaviour is observable throughout.,Throughput against capacity is an infrastructure measure. Volume can be steady while what the model recommends changes completely.,Response time indicates the service is healthy. It carries no information about whether the recommendations are still appropriate.,Operationalize AI Solution,Production monitoring and performance tracking,MEDIUM,,,,,,,
CPMAI-D5-047,"A team has run a new model alongside the existing process for four weeks without acting on its output, comparing the two sets of decisions. The results match closely. The team proposes switching off the existing process and acting on the model's output from the following week. What should the project manager recognise about that evidence?",Four weeks is too short a period for a parallel run to produce a reliable comparison,"Running in parallel tested the predictions, not the process of acting on them",The close match suggests the model has learned to copy the existing process rather than improve on it,The existing process should be switched off gradually so both can be compared for longer,B,A model observed without acting is not yet tested against the consequences of acting on it.,Whether four weeks suffices depends on the volume and variety of cases seen. The more important gap is what a parallel run cannot test at all.,"For four weeks nothing downstream depended on the model. Switching over introduces handoffs, exception routes and workload effects that the parallel run did not exercise.",Agreement with a process the model was built to replicate is expected and is not in itself a fault. It says nothing about readiness to operate.,A longer comparison extends the same evidence. It does not begin to test the consequences of acting on the output.,Operationalize AI Solution,Deployment planning and release strategy,HARD,,,,,,,
CPMAI-D5-048,"A retrained model is ready to replace the live version. The team cannot say which data extract or settings produced the version currently in production, because those were not recorded at the time. What operational risk does the missing provenance create?",The new model cannot be evaluated until the production model's settings are recovered,The production model must be assumed to be performing worse than the new version,The current production version cannot be reliably reconstructed or traced to the data and settings that produced it,"The replacement should proceed, since the new version's provenance is fully documented",C,Missing production provenance prevents reliable reconstruction and weakens both rollback and auditability.,"The new model can be evaluated on its own merits straight away. The gap concerns the version already running, not the candidate.",No such assumption follows. The production model's performance is being measured by monitoring regardless of how it was built.,"If the replacement has to be withdrawn, the organisation cannot rebuild what it was running before. The same gap leaves the decisions the current version produced without a traceable basis.",Proceeding leaves the organisation unable to return to a version it can no longer reconstruct.,Operationalize AI Solution,Drift detection and retraining,MEDIUM,,,,,,,
CPMAI-D5-049,A rollback plan for a live model exists as a written procedure. It has never been carried out. The project manager asks the team to walk through it and finds that one step depends on a stored copy of the previous model that nobody has confirmed still exists. What does this show about the plan?,It needs a named owner responsible for carrying it out during an incident,It should be rewritten to remove the dependency on the stored previous model,It should be reviewed and approved by the sponsor before the model goes live,It is an assumption until it has been tested end to end,D,A rollback is a control only once it has been exercised; until then it is an assumption.,An owner is necessary for a response and cannot make a missing artefact appear. The procedure would fail for the same reason.,"Reverting requires some previous version to return to, so the dependency is inherent rather than removable.",Approval attests that someone read it. Exercising it is what shows it works.,A written procedure can read correctly while depending on something that is missing. Only running it reveals which steps hold.,Operationalize AI Solution,"Incident response, rollback and failure handling",MEDIUM,,,,,,,
CPMAI-D5-050,"Staff who will use a model's output have been told it is accurate and have been shown how to open the screen it appears on. Several weeks after release they continue to rely on their own judgement. Asked why, they say they do not know what the score is based on or when it is likely to be wrong. What was missing from the preparation?",A demonstration of the screen given by someone from the team that built the model,An explanation of what drives the score and where the model is unreliable,A written procedure requiring staff to consult the score before deciding,A published accuracy figure so staff can see how often the model is correct overall,B,"Using a model's output requires knowing what it rests on and where it is weak, not only how to find it.",Who delivers a screen walkthrough does not change that it covers navigation rather than interpretation.,Being told a number is accurate gives no basis for judging any particular case. Staff need to know what the score responds to and the conditions under which it has been shown to struggle.,"Mandating consultation can produce compliance without judgement, and staff would still not know when to doubt the score.",An overall rate helps calibrate general trust. It does not help with the case in front of them.,Operationalize AI Solution,"Adoption, training and change management",MEDIUM,,,,,,,
CPMAI-D5-051,"A model is deployed into a process that previously relied on a manual step. That step also handled exceptions, which staff resolved using judgement and local knowledge. The deployment plan removes the step entirely. What should the project manager confirm before the change?",Whether the model can be trained to resolve the exceptions as well as the routine cases,Whether the staff who performed the manual step will be reassigned to other work,Where the exceptions the manual step absorbed will be handled once it is gone,Whether the manual step was documented well enough to reconstruct it later,C,"Automating a step removes whatever else that step quietly did, including handling the exceptions.","Even if some exceptions could be automated, the stem does not establish that the model handles them. A route is still needed for the exceptions the model does not resolve.",Redeployment is a genuine change management task. It does not settle where the exception cases go.,The manual step did more than the task it was named for. Removing it without a route for the exceptions leaves those cases with nowhere to go once the model cannot resolve them.,Documentation would help a future rebuild. The immediate need is a destination for exceptions from day one.,Operationalize AI Solution,Integration with business processes and systems,HARD,,,,,,,
CPMAI-D5-052,"A live model produces a recommendation that an operator believes is clearly wrong and potentially harmful. There is an override facility. The project manager asks what happens to that case after the override, and the team confirms the override is recorded but is not routed anywhere. What is missing from the arrangement?",A route that brings serious cases to the attention of those who can investigate the model,A requirement that operators justify each override in writing before it takes effect,An automatic suspension of the model whenever an operator records an override,A limit on how many overrides an individual operator may record in a period,A,An override corrects one case; an escalation route lets the organisation learn the model has a problem.,"The override protects the individual case and stops there. Without escalation, a recurring fault is corrected repeatedly at the front line while the underlying cause goes undiagnosed.",A written justification is useful evidence and adds delay at the moment of the decision. It still leaves the record unrouted.,Automatic suspension after any single override would treat one disputed case as evidence of a systemic fault.,"A cap would discourage correction of genuinely wrong recommendations, which is the opposite of what the facility is for.",Operationalize AI Solution,Human oversight and escalation in operation,MEDIUM,,,,,,,
CPMAI-D5-053,A model in production is updated by the team editing the running configuration directly when a change is needed. The project manager asks how a change made last month could be identified and reversed. The team says the change would have to be recalled from memory. What should be introduced?,A rule that only one named engineer may edit the running configuration,"A recorded, reversible change process for the production model",A weekly summary from the team describing any changes made that week,A requirement to notify the project manager before any configuration change,B,A production change that is not recorded cannot be reviewed or reversed.,Restricting who may change it narrows the field of people to ask and still leaves the change itself unrecorded.,"A change nobody can identify cannot be undone or examined after an incident. Recording what changed, when and by whom is what makes a production system controllable.","A weekly recollection is incomplete by the same means as the current arrangement, and arrives too late to be reversed quickly.",Notification tells one person a change is coming. It creates no durable record of what was done.,Operationalize AI Solution,"Model lifecycle, versioning and retirement",EASY,,,,,,,
CPMAI-D5-054,"A model has operated for two years within the same agreed conditions of use. Over that period the organisation has entered a new market, and the model is now scoring cases from it. No decision was taken to extend the model's scope; the new cases simply arrived through the existing process. What does this illustrate?",The model should be retrained to include cases from the new market,The process that routes cases to the model was configured incorrectly,The agreed conditions of use were written too narrowly at the outset,"Scope can drift without a decision, so conditions of use need periodic review",D,Scope can widen through ordinary business change without any decision to extend the model.,"Retraining assumes the extension is appropriate, which is the question that was never asked.",The process routed cases as it was built to. The gap is that nobody reviewed the model's scope as the business changed.,The conditions described the situation at the time. Their defect is that they were never revisited.,Nobody chose to apply the model to the new market. The business changed around a system whose conditions were set once and not revisited since against what it was actually receiving.,Operationalize AI Solution,Operational governance and value realisation,HARD,,,,,,,
CPMAI-D5-055,"A loan model predicts whether an applicant would default on a loan from the organisation. Its declines are monitored by checking whether each declined applicant later defaulted with another lender, treating such a default as confirmation that the decline was correct. Declined applicants receive no loan from the organisation, so their repayment behaviour with it is not observed. What should the project manager recognise?","How declined applicants would have repaid the organisation's own loans is not observed, so defaults elsewhere cannot fully validate those declines",Precision is the wrong measure for a loan model and recall should be reported instead,Checking defaults elsewhere is unreliable because other lenders apply different criteria,The monitoring should be run weekly rather than at the end of each reporting period,A,Acting on a prediction can prevent the outcome that would have shown whether it was right.,"Repayment under the organisation's own terms is the outcome the decline was predicting, and the decline itself prevents it being observed. A default recorded with another lender is a different event and only a partial substitute.","A different measure faces the same limitation, since it too depends on outcomes for applicants who were declined. Changing what is reported does not supply the missing observations.",Differences between lenders do add noise to that external signal. The more fundamental issue is that the organisation's own outcome is never observed for declined applicants.,Frequency does not create observations that the decision itself prevented.,Operationalize AI Solution,Production monitoring and performance tracking,HARD,,,,,,,
CPMAI-D5-056,"A model is scheduled to go live on a date fixed in the project plan. Two days before, the team reports that the connection to one upstream source is intermittent and that records sometimes arrive incomplete. The model would still produce an output for those records. What should the project manager do?",Proceed on the fixed date and record the intermittent connection in the project risk log,Proceed on the fixed date and correct the upstream connection during the following sprint,Hold the release until the behaviour on incomplete records is known and acceptable,Proceed and instruct users to disregard any prediction that appears unreasonable to them,C,"A release date is a plan, not a reason to put a known defect in front of users.",Logging a risk documents it without addressing it. The release would still put an unexamined behaviour into use.,Scheduling a later fix leaves the intervening period running on incomplete input with unknown consequences.,"The model would return output for records that are missing information, and nobody knows whether that output is sound. Going live would put unverified predictions into real decisions.",This transfers the problem to users who have no way to know which predictions were built on incomplete records.,Operationalize AI Solution,Deployment planning and release strategy,MEDIUM,,,,,,,
CPMAI-D5-057,"A model that predicts delivery delays is retrained automatically each week on the most recent data, with the new version replacing the old one without review. After a period in which a strike disrupted operations, the model began predicting delays far more often. What does this reveal about the arrangement?",The model should be retrained more frequently so that the strike period is replaced sooner,Unrepresentative recent conditions were learned and carried into normal operation without anyone checking,The model should be trained on a longer history so that one week has less influence,Weekly retraining is too frequent for a model predicting delivery delays,B,Automatic retraining can absorb exceptional recent conditions that may not represent subsequent operation.,"More frequent retraining would move on from the strike faster and would equally absorb the next exceptional period. The missing control is the review, not the interval.","The strike period is now part of the training data. With no review between retraining and release, an exceptional period is carried forward as the model's expectation of an ordinary week.",A longer window dilutes the effect and is worth considering. It does not restore the check that nobody performed.,Whether weekly suits this problem depends on how fast conditions move. The defect shown here is the absence of review before release.,Operationalize AI Solution,Drift detection and retraining,HARD,,,,,,,
CPMAI-D5-058,A live model begins producing recommendations that operational staff report as clearly wrong. The team's proposal is to investigate the cause and issue a corrected model within a few days. Decisions continue to be made on the model's output throughout. What should the project manager do first?,Ask the team to prioritise the investigation so the corrected model arrives sooner,Record the reports from operational staff and review them once the fix is released,Stop relying on the model's output while the cause is investigated,Instruct staff to override the recommendations they judge to be wrong,C,Stopping the harm comes before diagnosing it; a fix takes time that the exposure does not.,A faster fix shortens the exposure without ending it. Decisions continue on faulty output until the new version lands.,Recording the reports is necessary and does nothing about the decisions being made now.,The investigation may take days and every decision made meanwhile carries the fault. Reverting to the previous process ends the exposure without waiting for a diagnosis.,"Staff can only catch the errors they happen to notice, and the burden of an unreliable model falls on them.",Operationalize AI Solution,"Incident response, rollback and failure handling",MEDIUM,,,,,,,
CPMAI-D5-059,"A model is deployed to help a team prioritise their work. Adoption is low. Investigation finds that the team's performance is measured on a target that the model's prioritisation makes harder to hit, although it improves the outcome the organisation wants. What should the project manager address?",The conflict between the team's target and the outcome the model optimises,The team's understanding of how the model produces its prioritisation,"The model's prioritisation logic, so that it aligns with the team's existing target",The frequency with which the model refreshes its prioritisation during the day,A,A performance measure that conflicts with the model's intended outcome can undermine adoption.,The team is being measured against a target that conflicts with the outcome the model is intended to improve. Addressing that incentive conflict removes a direct barrier to adoption.,Better understanding does not make staff adopt a tool that costs them against the measure they are judged on.,"Bending the model to the existing target abandons the outcome the organisation wanted, which is the reason for the deployment.",Refresh cadence is an operational detail unrelated to the incentive conflict identified.,Operationalize AI Solution,"Adoption, training and change management",HARD,,,,,,,
CPMAI-D5-060,A model has been live for three months. The team reports that no errors have appeared in the application logs and treats this as evidence that the model is performing well. What should the project manager point out about that reasoning?,The logs may not have been retained for the full three months of operation,Errors would appear in the model's own logs rather than in the application logs,Three months is too short a period to judge whether a model is performing well,Absence of logged application errors does not show that the model's predictions were correct,D,A system can run without errors while producing predictions that are wrong.,Retention is worth checking and is quickly resolved. Even a complete set of logs would not evidence prediction quality.,Which log holds an error is a configuration detail. The gap is that execution errors are not a measure of correctness.,A longer period of the same evidence does not change what that evidence can show.,"Logs record failures of execution. A model returning a confident but wrong answer produces no logged error, so clean logs cannot speak to prediction quality.",Operationalize AI Solution,Production monitoring and performance tracking,EASY,,,,,,,
